"version","doi_eng","doi_fra","rebased"
"1999-05","doi:10.5683/SP3/2FUDGK","doi:10.5683/SP3/WIKTWB","2006"
"1999-06","doi:10.5683/SP3/105E8I","doi:10.5683/SP3/NCOD6B","2006"
"1999-07","doi:10.5683/SP3/YGIGCC","doi:10.5683/SP3/EW2KEH","2006"
"1999-08","doi:10.5683/SP3/GYC6IZ","doi:10.5683/SP3/ZDBDBX","2006"
"1999-09","doi:10.5683/SP3/TI2BMH","doi:10.5683/SP3/PK60NM","2006"
"1999-10","doi:10.5683/SP3/C66XVS","doi:10.5683/SP3/KWWENL","2006"
"1999-11","doi:10.5683/SP3/FBVTWA","doi:10.5683/SP3/KK1LID","2006"
"1999-12","doi:10.5683/SP3/X8NCAE","doi:10.5683/SP3/YI9NTK","2006"
"2000-01","doi:10.5683/SP3/2RS9YM","doi:10.5683/SP3/8JQC9F","2006"
"2000-02","doi:10.5683/SP3/NPCDRI","doi:10.5683/SP3/2LIBNV","2006"
"2000-03","doi:10.5683/SP3/FT9HJT","doi:10.5683/SP3/SCI9I2","2006"
"2000-04","doi:10.5683/SP3/0QJNDF","doi:10.5683/SP3/BWTOC2","2006"
"2000-05","doi:10.5683/SP3/3G0ALO","doi:10.5683/SP3/5BW4NX","2006"
"2000-06","doi:10.5683/SP3/UJSYJZ","doi:10.5683/SP3/71H5VE","2006"
